user,message
David,Working on projects
David,What's up?
Bob,Hey
Bob,Feeling great!
David,Feeling great!
Bob,Nice to meet you
Bob,Hi
Charlie,What's up?
David,Feeling great!
Charlie,What's up?
Eva,Good morning
Charlie,Busy with work
David,What's up?
Eva,Feeling great!
Eva,Good morning
Alice,Busy with work
Bob,Hi
Bob,Hi
Eva,Hi
Eva,Good morning
Alice,Good morning
David,Good morning
David,Busy with work
Bob,How are you?
Eva,Hey
Eva,Nice to meet you
Alice,What's up?
David,Hey
Alice,Busy with work
Bob,Feeling great!
Charlie,Working on projects
Bob,Busy with work
Eva,Busy with work
Bob,Hi
Bob,Feeling great!
Bob,How are you?
Alice,What's up?
Bob,Busy with work
Charlie,How are you?
Eva,Busy with work
Charlie,What's up?
Alice,Hi
Eva,Hi
Charlie,How are you?
Charlie,Hey
Eva,Good morning
Charlie,Working on projects
Bob,Working on projects
Alice,Nice to meet you
David,What's up?
Alice,Hey
Bob,How are you?
Bob,How are you?
Bob,Hi
Bob,Hello
Charlie,Hey
Charlie,What's up?
David,Busy with work
David,Working on projects
David,Working on projects
Alice,Busy with work
Alice,What's up?
David,Hi
Charlie,Busy with work
Charlie,Busy with work
David,Feeling great!
Alice,Nice to meet you
Eva,Busy with work
Charlie,Nice to meet you
Charlie,Working on projects
Charlie,Feeling great!
Alice,Working on projects
Charlie,What's up?
Charlie,What's up?
Charlie,What's up?
Bob,What's up?
David,Good morning
Charlie,Working on projects
David,Hello
Alice,Hi
Eva,Hello
Charlie,How are you?
Eva,Hello
Charlie,Feeling great!
Charlie,What's up?
Eva,Nice to meet you
Bob,Good morning
Alice,Feeling great!
Eva,Hello
David,Hi
David,Busy with work
David,Hey
Alice,How are you?
Eva,How are you?
Alice,Hi
Bob,Nice to meet you
Alice,Good morning
Charlie,Hello
Bob,Busy with work
David,Hi
Bob,Feeling great!
Charlie,Hello
Alice,Good morning
Alice,Feeling great!
David,Feeling great!
David,Hey
Bob,Hey
Bob,What's up?
David,Nice to meet you
David,Hey
Eva,Working on projects
Charlie,Hey
Bob,Hey
David,Hey
Charlie,Feeling great!
Eva,Hey
David,Working on projects
David,Feeling great!
David,Nice to meet you
Alice,Hello
Alice,Working on projects
Alice,Hello
Bob,What's up?
Bob,Hello
David,How are you?
Charlie,Nice to meet you
David,Hi
Charlie,Hey
David,Hey
Bob,Good morning
Eva,How are you?
David,Working on projects
Alice,Busy with work
Bob,Hello
Bob,How are you?
Charlie,Good morning
Charlie,Hey
Bob,How are you?
Alice,Working on projects
Bob,Working on projects
Bob,Busy with work
Alice,What's up?
David,Good morning
David,Hey
Eva,Hello
Eva,How are you?
Bob,Working on projects
Charlie,How are you?
Charlie,Feeling great!
Alice,Feeling great!
Charlie,Hey
Charlie,Feeling great!
Alice,Hi
Bob,How are you?
Eva,Hi
David,Hello
David,What's up?
Charlie,What's up?
Alice,Busy with work
Bob,Nice to meet you
David,Good morning
Alice,Feeling great!
Charlie,Hello
Alice,Good morning
Alice,How are you?
Eva,Good morning
Alice,How are you?
Alice,Good morning
Bob,Hello
Charlie,Hello
David,Working on projects
Bob,How are you?
Alice,Working on projects
Eva,Nice to meet you
Alice,Good morning
David,What's up?
Bob,Hello
Charlie,Nice to meet you
Alice,Good morning
Alice,Feeling great!
Eva,Good morning
Charlie,What's up?
Bob,Hello
David,Working on projects
David,Good morning
David,Feeling great!
David,Working on projects
Alice,Working on projects
Bob,Hello
Alice,Feeling great!
Alice,Feeling great!
Eva,What's up?
Eva,Hi
Alice,Feeling great!
Eva,Feeling great!
Eva,Good morning
David,Nice to meet you
David,Hi
David,Hello
Eva,Good morning
Bob,How are you?
Alice,Feeling great!
David,Hello
David,Good morning
Bob,Hi
Charlie,Nice to meet you
